date,age_weeks,N
2014-06-14,0,7
2014-06-15,0,21
2014-06-16,0,33
2014-06-17,0,50
2014-06-18,0,77
2014-06-19,0,88
2014-06-20,0,115
2014-06-21,0,116
2014-06-21,1,5
2014-06-22,0,111
2014-06-22,1,18
2014-06-23,0,409
2014-06-23,1,29
2014-06-24,0,595
2014-06-24,1,37
2014-06-25,0,542
2014-06-25,1,59
2014-06-26,0,532
2014-06-26,1,71
2014-06-27,0,507
2014-06-27,1,93
2014-06-28,0,549
2014-06-28,1,101
2014-06-28,2,5
2014-06-29,0,712
2014-06-29,1,98
2014-06-29,2,17
2014-06-30,0,574
2014-06-30,1,255
2014-06-30,2,27
2014-07-01,0,419
2014-07-01,1,380
2014-07-01,2,35
2014-07-02,0,398
2014-07-02,1,385
2014-07-02,2,54
2014-07-03,0,385
2014-07-03,1,387
2014-07-03,2,65
2014-07-04,0,374
2014-07-04,1,377
2014-07-04,2,84
2014-07-05,0,332
2014-07-05,1,410
2014-07-05,2,91
2014-07-05,3,5
2014-07-06,0,181
2014-07-06,1,537
2014-07-06,2,91
2014-07-06,3,15
2014-07-07,0,132
2014-07-07,1,450
2014-07-07,2,209
2014-07-07,3,24
2014-07-08,0,117
2014-07-08,1,352
2014-07-08,2,303
2014-07-08,3,32
2014-07-09,0,106
2014-07-09,1,336
2014-07-09,2,310
2014-07-09,3,49
2014-07-10,0,92
2014-07-10,1,329
2014-07-10,2,314
2014-07-10,3,59
2014-07-11,0,80
2014-07-11,1,318
2014-07-11,2,307
2014-07-11,3,77
2014-07-12,0,69
2014-07-12,1,279
2014-07-12,2,334
2014-07-12,3,81
2014-07-12,4,5
2014-07-13,0,69
2014-07-13,1,154
2014-07-13,2,452
2014-07-13,3,76
2014-07-13,4,14
2014-07-14,0,120
2014-07-14,1,110
2014-07-14,2,385
2014-07-14,3,172
2014-07-14,4,22
2014-07-15,0,294
2014-07-15,1,96
2014-07-15,2,301
2014-07-15,3,252
2014-07-15,4,27
2014-07-16,0,293
2014-07-16,1,88
2014-07-16,2,283
2014-07-16,3,258
2014-07-16,4,43
2014-07-17,0,289
2014-07-17,1,75
2014-07-17,2,276
2014-07-17,3,262
2014-07-17,4,48
2014-07-18,0,283
2014-07-18,1,63
2014-07-18,2,263
2014-07-18,3,263
2014-07-18,4,64
2014-07-19,0,281
2014-07-19,1,53
2014-07-19,2,233
2014-07-19,3,286
2014-07-19,4,69
2014-07-19,5,5
2014-07-20,0,274
2014-07-20,1,52
2014-07-20,2,131
2014-07-20,3,381
2014-07-20,4,63
2014-07-20,5,13
2014-07-21,0,227
2014-07-21,1,88
2014-07-21,2,92
2014-07-21,3,330
2014-07-21,4,144
2014-07-21,5,18
2014-07-22,0,109
2014-07-22,1,211
2014-07-22,2,80
2014-07-22,3,257
2014-07-22,4,215
2014-07-22,5,25
2014-07-23,0,83
2014-07-23,1,227
2014-07-23,2,75
2014-07-23,3,244
2014-07-23,4,219
2014-07-23,5,38
2014-07-24,0,81
2014-07-24,1,233
2014-07-24,2,68
2014-07-24,3,235
2014-07-24,4,226
2014-07-24,5,44
2014-07-25,0,77
2014-07-25,1,224
2014-07-25,2,57
2014-07-25,3,230
2014-07-25,4,228
2014-07-25,5,56
2014-07-26,0,76
2014-07-26,1,228
2014-07-26,2,49
2014-07-26,3,201
2014-07-26,4,247
2014-07-26,5,63
2014-07-26,6,4
2014-07-27,0,75
2014-07-27,1,227
2014-07-27,2,48
2014-07-27,3,110
2014-07-27,4,331
2014-07-27,5,58
2014-07-27,6,13
2014-07-28,0,67
2014-07-28,1,190
2014-07-28,2,80
2014-07-28,3,77
2014-07-28,4,291
2014-07-28,5,128
2014-07-28,6,17
2014-07-29,0,63
2014-07-29,1,89
2014-07-29,2,183
2014-07-29,3,68
2014-07-29,4,223
2014-07-29,5,190
2014-07-29,6,24
2014-07-30,0,87
2014-07-30,1,70
2014-07-30,2,193
2014-07-30,3,65
2014-07-30,4,206
2014-07-30,5,196
2014-07-30,6,35
2014-07-31,0,85
2014-07-31,1,65
2014-07-31,2,196
2014-07-31,3,60
2014-07-31,4,199
2014-07-31,5,203
2014-07-31,6,41
2014-08-01,0,116
2014-08-01,1,67
2014-08-01,2,195
2014-08-01,3,48
2014-08-01,4,191
2014-08-01,5,202
2014-08-01,6,53
2014-08-02,0,99
2014-08-02,1,60
2014-08-02,2,194
2014-08-02,3,44
2014-08-02,4,167
2014-08-02,5,214
2014-08-02,6,60
2014-08-02,7,4
2014-08-03,0,92
2014-08-03,1,58
2014-08-03,2,190
2014-08-03,3,42
2014-08-03,4,95
2014-08-03,5,284
2014-08-03,6,55
2014-08-03,7,13
2014-08-04,0,103
2014-08-04,1,50
2014-08-04,2,157
2014-08-04,3,70
2014-08-04,4,71
2014-08-04,5,243
2014-08-04,6,120
2014-08-04,7,16
2014-08-05,0,115
2014-08-05,1,46
2014-08-05,2,77
2014-08-05,3,149
2014-08-05,4,61
2014-08-05,5,191
2014-08-05,6,168
2014-08-05,7,23
2014-08-06,0,91
2014-08-06,1,63
2014-08-06,2,60
2014-08-06,3,162
2014-08-06,4,57
2014-08-06,5,183
2014-08-06,6,171
2014-08-06,7,34
2014-08-07,0,85
2014-08-07,1,65
2014-08-07,2,56
2014-08-07,3,168
2014-08-07,4,54
2014-08-07,5,171
2014-08-07,6,179
2014-08-07,7,38
2014-08-08,0,68
2014-08-08,1,75
2014-08-08,2,56
2014-08-08,3,165
2014-08-08,4,45
2014-08-08,5,170
2014-08-08,6,180
2014-08-08,7,49
2014-08-09,0,56
2014-08-09,1,83
2014-08-09,2,52
2014-08-09,3,169
2014-08-09,4,40
2014-08-09,5,153
2014-08-09,6,192
2014-08-09,7,55
2014-08-09,8,4
2014-08-10,0,55
2014-08-10,1,80
2014-08-10,2,51
2014-08-10,3,169
2014-08-10,4,39
2014-08-10,5,85
2014-08-10,6,257
2014-08-10,7,49
2014-08-10,8,12
2014-08-11,0,54
2014-08-11,1,86
2014-08-11,2,44
2014-08-11,3,141
2014-08-11,4,64
2014-08-11,5,64
2014-08-11,6,219
2014-08-11,7,105
2014-08-11,8,16
2014-08-12,0,50
2014-08-12,1,95
2014-08-12,2,42
2014-08-12,3,70
2014-08-12,4,132
2014-08-12,5,57
2014-08-12,6,177
2014-08-12,7,148
2014-08-12,8,22
2014-08-13,0,60
2014-08-13,1,78
2014-08-13,2,59
2014-08-13,3,54
2014-08-13,4,142
2014-08-13,5,51
2014-08-13,6,167
2014-08-13,7,151
2014-08-13,8,30
2014-08-14,0,46
2014-08-14,1,72
2014-08-14,2,61
2014-08-14,3,52
2014-08-14,4,144
2014-08-14,5,47
2014-08-14,6,160
2014-08-14,7,157
2014-08-14,8,34
2014-08-15,0,48
2014-08-15,1,56
2014-08-15,2,70
2014-08-15,3,52
2014-08-15,4,146
2014-08-15,5,40
2014-08-15,6,156
2014-08-15,7,158
2014-08-15,8,45
2014-08-16,0,46
2014-08-16,1,46
2014-08-16,2,72
2014-08-16,3,47
2014-08-16,4,150
2014-08-16,5,34
2014-08-16,6,141
2014-08-16,7,170
2014-08-16,8,52
2014-08-16,9,4
2014-08-17,0,49
2014-08-17,1,45
2014-08-17,2,70
2014-08-17,3,47
2014-08-17,4,148
2014-08-17,5,33
2014-08-17,6,81
2014-08-17,7,229
2014-08-17,8,48
2014-08-17,9,11
2014-08-18,0,47
2014-08-18,1,43
2014-08-18,2,76
2014-08-18,3,41
2014-08-18,4,126
2014-08-18,5,55
2014-08-18,6,57
2014-08-18,7,203
2014-08-18,8,94
2014-08-18,9,14
2014-08-19,0,36
2014-08-19,1,37
2014-08-19,2,83
2014-08-19,3,39
2014-08-19,4,62
2014-08-19,5,120
2014-08-19,6,52
2014-08-19,7,162
2014-08-19,8,134
2014-08-19,9,20
2014-08-20,0,32
2014-08-20,1,41
2014-08-20,2,68
2014-08-20,3,54
2014-08-20,4,47
2014-08-20,5,133
2014-08-20,6,47
2014-08-20,7,153
2014-08-20,8,141
2014-08-20,9,29
2014-08-21,0,32
2014-08-21,1,37
2014-08-21,2,63
2014-08-21,3,58
2014-08-21,4,43
2014-08-21,5,135
2014-08-21,6,45
2014-08-21,7,148
2014-08-21,8,146
2014-08-21,9,32
2014-08-22,0,28
2014-08-22,1,40
2014-08-22,2,49
