date,n
2014-06-13T00:00:00+00:00,0
2014-06-20T00:00:00+00:00,231
2014-06-27T00:00:00+00:00,2246
2014-07-04T00:00:00+00:00,3577
2014-07-11T00:00:00+00:00,3758
2014-07-18T00:00:00+00:00,4705
2014-07-25T00:00:00+00:00,4870
2014-08-01T00:00:00+00:00,5126
2014-08-08T00:00:00+00:00,5289
2014-08-15T00:00:00+00:00,5436
2014-08-22T00:00:00+00:00,5554
2014-08-29T00:00:00+00:00,5653
2014-09-05T00:00:00+00:00,5752
2014-09-12T00:00:00+00:00,5822
2014-09-19T00:00:00+00:00,5953
2014-09-26T00:00:00+00:00,6001
2014-10-03T00:00:00+00:00,6117
2014-10-10T00:00:00+00:00,6219
2014-10-17T00:00:00+00:00,6379
2014-10-24T00:00:00+00:00,6468
2014-10-31T00:00:00+00:00,6502
2014-11-07T00:00:00+00:00,6590
2014-11-14T00:00:00+00:00,6769
2014-11-21T00:00:00+00:00,6800
2014-11-28T00:00:00+00:00,6822
2014-12-05T00:00:00+00:00,6846
2014-12-12T00:00:00+00:00,6859
2014-12-19T00:00:00+00:00,6869
2014-12-26T00:00:00+00:00,6886
2015-01-02T00:00:00+00:00,6900
2015-01-09T00:00:00+00:00,6915
2015-01-16T00:00:00+00:00,6930
2015-01-23T00:00:00+00:00,6935
2015-01-30T00:00:00+00:00,6946
2015-02-06T00:00:00+00:00,6954
2015-02-13T00:00:00+00:00,6985
2015-02-20T00:00:00+00:00,7004
2015-02-27T00:00:00+00:00,7023
2015-03-06T00:00:00+00:00,7035
2015-03-13T00:00:00+00:00,7050
2015-03-20T00:00:00+00:00,7068
2015-03-27T00:00:00+00:00,7083
2015-04-03T00:00:00+00:00,7090
2015-04-10T00:00:00+00:00,7172
2015-04-17T00:00:00+00:00,7212
2015-04-24T00:00:00+00:00,7236
2015-05-01T00:00:00+00:00,7265
2015-05-08T00:00:00+00:00,7298
2015-05-15T00:00:00+00:00,7371
2015-05-22T00:00:00+00:00,7425
2015-05-29T00:00:00+00:00,7457
2015-06-05T00:00:00+00:00,7522
2015-06-12T00:00:00+00:00,7573
2015-06-19T00:00:00+00:00,7611
2015-06-26T00:00:00+00:00,7678
2015-07-03T00:00:00+00:00,7735
2015-07-10T00:00:00+00:00,7796
2015-07-17T00:00:00+00:00,7864
2015-07-24T00:00:00+00:00,7921
2015-07-31T00:00:00+00:00,9505
2015-08-07T00:00:00+00:00,10261
2015-08-14T00:00:00+00:00,11753
2015-08-21T00:00:00+00:00,12561
2015-08-28T00:00:00+00:00,13590
2015-09-04T00:00:00+00:00,14785
2015-09-11T00:00:00+00:00,15443
