date,source,value,density
2018-01-01,bg_count,14099.075,1.9339204511734e-05
2018-01-02,bg_count,13518.31,1.85425896197459e-05
2018-01-03,bg_count,14422.797,1.97832425754331e-05
2018-01-04,bg_count,13688.91,1.87765956300481e-05
2018-01-05,bg_count,14872.712,2.04003751318523e-05
2018-01-06,bg_count,19101.368,2.62006736048919e-05
2018-01-07,bg_count,20179.469,2.76794667685076e-05
2018-01-08,bg_count,14602.191,2.00293110057505e-05
2018-01-09,bg_count,13994.98,1.91964210671712e-05
2018-01-10,bg_count,14909.685,2.04510896935106e-05
2018-01-11,bg_count,13818.429,1.89542522798039e-05
2018-01-12,bg_count,13474.973,1.84831457834712e-05
2018-01-13,bg_count,14157.745,1.94196800839757e-05
2018-01-14,bg_count,18700.454,2.56507539940226e-05
2018-01-15,bg_count,14364.038,1.97026449250266e-05
2018-01-16,bg_count,13526.928,1.85544106267611e-05
2018-01-17,bg_count,14283.616,1.9592332900639e-05
2018-01-18,bg_count,14017.127,1.92267993269025e-05
2018-01-19,bg_count,19805.784,2.71668962177469e-05
2018-01-20,bg_count,13627.794,1.86927649657713e-05
2018-01-21,bg_count,13279.43,1.82149263387319e-05
2018-01-22,bg_count,20589.655,2.82421044551537e-05
2018-01-23,bg_count,19450.824,2.66800100898636e-05
2018-01-24,bg_count,14951.23,2.05080755065118e-05
2018-01-25,bg_count,13979.077,1.91746074822836e-05
2018-01-26,bg_count,21021.642,2.88346458055197e-05
2018-01-27,bg_count,19744.973,2.70834839112258e-05
2018-01-28,bg_count,13460.086,1.8462725809993e-05
2018-01-29,bg_count,11976.257,1.642740984129e-05
2018-01-30,bg_count,15021.097,2.06039096092186e-05
2018-01-31,bg_count,13374.689,1.83455897533589e-05
2018-02-01,bg_count,13704.739,1.87983077117426e-05
2018-02-02,bg_count,12556.158,1.72228396149141e-05
2018-02-03,bg_count,13958.404,1.91462510564279e-05
2018-02-04,bg_count,13305.328,1.82504497130273e-05
2018-02-05,bg_count,13507.642,1.85279566999458e-05
2018-02-06,bg_count,11768.846,1.61429114790228e-05
2018-02-07,bg_count,19918.671,2.73217393389953e-05
2018-02-08,bg_count,14537.8,1.99409881393415e-05
2018-02-09,bg_count,20182.824,2.76840687038216e-05
2018-02-10,bg_count,14082.762,1.93168285442893e-05
2018-02-11,bg_count,12964.616,1.77831070648322e-05
2018-02-12,bg_count,14027.501,1.92410289772594e-05
2018-02-13,bg_count,13381.368,1.83547511023789e-05
2018-02-14,bg_count,19859.372,2.72404009896113e-05
2018-02-15,bg_count,12969.152,1.77893289362433e-05
2018-02-16,bg_count,13024.538,1.78652999613699e-05
2018-02-17,bg_count,13683.008,1.87685000645569e-05
2018-02-18,bg_count,20635.182,2.83045522372817e-05
2018-02-19,bg_count,13398.996,1.83789308090003e-05
2018-02-20,bg_count,12133.363,1.66429066071431e-05
2018-02-21,bg_count,12872.599,1.76568905873997e-05
