date,age_weeks,N
2014-06-14,0,2
2014-06-15,0,12
2014-06-16,0,14
2014-06-17,0,20
2014-06-18,0,36
2014-06-19,0,38
2014-06-20,0,49
2014-06-21,0,57
2014-06-21,1,2
2014-06-22,0,50
2014-06-22,1,11
2014-06-23,0,124
2014-06-23,1,13
2014-06-24,0,149
2014-06-24,1,16
2014-06-25,0,143
2014-06-25,1,30
2014-06-26,0,140
2014-06-26,1,32
2014-06-27,0,132
2014-06-27,1,41
2014-06-28,0,131
2014-06-28,1,50
2014-06-28,2,2
2014-06-29,0,184
2014-06-29,1,45
2014-06-29,2,10
2014-06-30,0,149
2014-06-30,1,99
2014-06-30,2,12
2014-07-01,0,121
2014-07-01,1,124
2014-07-01,2,15
2014-07-02,0,118
2014-07-02,1,120
2014-07-02,2,27
2014-07-03,0,116
2014-07-03,1,120
2014-07-03,2,29
2014-07-04,0,113
2014-07-04,1,115
2014-07-04,2,38
2014-07-05,0,107
2014-07-05,1,112
2014-07-05,2,45
2014-07-05,3,2
2014-07-06,0,53
2014-07-06,1,159
2014-07-06,2,42
2014-07-06,3,8
2014-07-07,0,33
2014-07-07,1,135
2014-07-07,2,85
2014-07-07,3,10
2014-07-08,0,24
2014-07-08,1,116
2014-07-08,2,107
2014-07-08,3,13
2014-07-09,0,23
2014-07-09,1,110
2014-07-09,2,105
2014-07-09,3,24
2014-07-10,0,20
2014-07-10,1,108
2014-07-10,2,105
2014-07-10,3,26
2014-07-11,0,15
2014-07-11,1,107
2014-07-11,2,102
2014-07-11,3,35
2014-07-12,0,13
2014-07-12,1,100
2014-07-12,2,99
2014-07-12,3,39
2014-07-12,4,2
2014-07-13,0,14
2014-07-13,1,52
2014-07-13,2,143
2014-07-13,3,36
2014-07-13,4,8
2014-07-14,0,23
2014-07-14,1,31
2014-07-14,2,124
2014-07-14,3,72
2014-07-14,4,10
2014-07-15,0,53
2014-07-15,1,23
2014-07-15,2,106
2014-07-15,3,90
2014-07-15,4,13
2014-07-16,0,51
2014-07-16,1,22
2014-07-16,2,100
2014-07-16,3,90
2014-07-16,4,22
2014-07-17,0,58
2014-07-17,1,19
2014-07-17,2,97
2014-07-17,3,87
2014-07-17,4,23
2014-07-18,0,52
2014-07-18,1,14
2014-07-18,2,93
2014-07-18,3,87
2014-07-18,4,30
2014-07-19,0,57
2014-07-19,1,12
2014-07-19,2,86
2014-07-19,3,87
2014-07-19,4,36
2014-07-19,5,2
2014-07-20,0,55
2014-07-20,1,12
2014-07-20,2,46
2014-07-20,3,126
2014-07-20,4,31
2014-07-20,5,8
2014-07-21,0,49
2014-07-21,1,16
2014-07-21,2,30
2014-07-21,3,111
2014-07-21,4,61
2014-07-21,5,9
2014-07-22,0,31
2014-07-22,1,38
2014-07-22,2,22
2014-07-22,3,96
2014-07-22,4,80
2014-07-22,5,12
2014-07-23,0,26
2014-07-23,1,41
2014-07-23,2,22
2014-07-23,3,91
2014-07-23,4,79
2014-07-23,5,20
2014-07-24,0,19
2014-07-24,1,50
2014-07-24,2,18
2014-07-24,3,89
2014-07-24,4,81
2014-07-24,5,21
2014-07-25,0,19
2014-07-25,1,47
2014-07-25,2,13
