x,n,lx,lxn,nqx,ndx,nax,nLx,nmx
0,7,55731,17639,0.6834975148481097,38092,0.5716553316040666,145248.4948914621,0.26225400840445545
7,7,17639,14972,0.15119904756505476,2667,3.204145650036624,113349.45644864767,0.023529005639372158
14,7,14972,13154,0.12142666310446171,1818,3.205828543812131,97906.19629265045,0.01856879409926042
21,7,13154,11702,0.11038467386346362,1452,3.4099735537193254,86865.28160000045,0.01671553897316776
28,7,11702,10506,0.10220475132455986,1196,3.3686005299397355,77570.84623380793,0.015418163628060871
35,7,10506,9564,0.08966304968589378,942,3.364346192043632,70117.2141129051,0.013434646711478865
42,7,9564,8760,0.08406524466750309,804,3.35056507101554,64013.85431709649,0.012559781137647759
49,7,8760,8071,0.07865296803652966,689,3.2589651890713274,58742.42701527014,0.011729171486579775
56,7,8071,7477,0.07359682815016722,594,3.4233657508510236,54372.47925600551,0.01092464438127294
63,7,7477,6938,0.07208773572288352,539,3.4031699620567415,50400.308609548585,0.010694378960566202
70,7,6938,6463,0.06846353415970019,475,3.432003213669548,46871.20152649304,0.010134154545441202
77,7,6463,6032,0.06668729692093456,431,3.411457443879197,43694.33815831193,0.009863978221581353
84,7,6032,5646,0.06399204244031831,386,3.4290779779552607,40845.62409949073,0.009450216724802419
91,7,5646,5302,0.06092809068366989,344,3.2020987035018535,38215.52195400464,0.009001577956047044
98,7,5302,5031,0.05111278762731042,271,3.463093390648486,36155.49830886574,0.007495402156676893
105,7,5031,4783,0.049294374875770264,248,3.384978101898436,34320.47456927081,0.007226007306497135
112,7,4783,4579,0.04265105582270545,204,3.118279033791796,32689.128922893527,0.0062406067925881775
119,7,4579,4367,0.04629831841013321,212,3.6342017106153333,31339.45076265045,0.006764636738709414
126,7,4367,4176,0.04373711930386992,191,3.7615949133459523,29950.464628449077,0.006377196560035154
133,7,4176,3985,0.04573754789272033,191,3.548716741504251,28572.804897627313,0.006684677989589347
140,7,3985,3817,0.04215809284818073,168,3.339002770957319,27279.95246552083,0.006158368502010237
147,7,3817,3660,0.04113177888394026,157,3.5553690160551983,26178.192935520667,0.005997358197592387
154,7,3660,3507,0.041803278688524625,153,3.6771644458062522,25111.606160208357,0.00609280023841894
161,7,3507,3363,0.04106073567151414,144,3.331547117493031,24020.742784918995,0.005994818781807526
168,7,3363,3241,0.03627713351174544,122,3.6720124274248667,23134.985516145833,0.005273398589977789
175,7,3241,3136,0.03239740820734338,105,3.4855881898148504,22317.986759930558,0.004704725436458978
182,7,3136,3035,0.03220663265306123,101,3.671486743788963,21615.820161122687,0.004672503714740114
189,7,3035,2948,0.028665568369028005,87,3.316957885935624,20924.5753360764,0.004157790473768989
196,7,2948,2858,0.030529172320217124,90,3.7170619659205824,20340.535576932853,0.004424662254324529
203,7,2858,2755,0.03603918824352692,103,3.6243357404035033,19658.30658126156,0.005239515396416716
210,7,2755,2665,0.03266787658802173,90,3.2882766577931952,18950.944899201386,0.004749103566007028
217,7,2665,2591,0.02776735459662294,74,3.135264468062165,18369.0095706366,0.004028524222573827
224,7,2591,2520,0.027402547279042788,71,3.5908298606217977,17894.948920104147,0.00396760003713868
231,7,2520,2431,0.0353174603174603,89,3.554533600837514,17333.35349047454,0.00513460941351652
238,7,2431,2343,0.03619909502262442,88,3.2921349131944955,16690.707872361116,0.005272394716447174
245,7,2343,2269,0.03158344003414426,74,3.7351456156454654,16159.400775557764,0.004579377727417358
252,7,2269,2202,0.029528426619656267,67,3.068994546019861,15619.622634583331,0.004289476229192351
259,7,2202,2122,0.03633060853769299,80,2.9275628314524935,15088.2050265162,0.005302154885846726
266,7,2122,2049,0.034401508011310034,73,3.56653631183413,14603.357150763892,0.004998850555139742
273,7,2049,1986,0.030746705710102518,63,3.8498607006906886,14144.541224143513,0.004454015086220289
280,7,1986,1927,0.029707955689828758,59,3.3719444503295155,13687.944722569442,0.004310362234493651
287,7,1927,1863,0.03321224701608716,64,3.70058745569282,13277.83759716434,0.004820061966541002
294,7,1863,1805,0.031132581857219566,58,3.9126959995611417,12861.936367974546,0.0045094298665958685
301,7,1805,1750,0.030470914127423865,55,3.8390137662034145,12461.145757141188,0.004413719337845061
308,7,1750,1704,0.026285714285714246,46,3.6519616364733847,12095.990235277775,0.0038029131228827953
315,7,1704,1644,0.035211267605633756,60,3.5489095277774747,11720.934571666648,0.005119045723968097
322,7,1644,1590,0.03284671532846717,54,3.1629806232855544,11300.800953657419,0.004778422363285967
329,7,1590,1520,0.04402515723270439,70,3.2667081210317583,10868.669568472224,0.006440530697800917
336,7,1520,1455,0.042763157894736836,65,3.8986234599358243,10438.41052489583,0.006227001691969637
343,7,1455,1403,0.03573883161512026,52,3.444221276709453,10000.099506388891,0.00519994825719265
350,7,1403,1343,0.04276550249465427,60,3.6859045013502483,9622.154270081015,0.006235609855743336
357,7,1343,1297,0.034251675353685784,46,3.2403892834140273,9228.057907037046,0.0049847975016413535
364,7,1297,1256,0.0316114109483423,41,3.29201839035678,8926.972754004628,0.004592822351967799
371,7,1256,1214,0.03343949044585992,42,3.610238623787345,8649.630022199068,0.004855699017438666
378,7,1214,1164,0.041186161449752845,50,4.006353273842567,8348.317663692129,0.00598923064672733
385,7,1164,1129,0.030068728522336774,35,3.5812893574736107,8028.345127511577,0.004359553487562687
392,7,1129,1093,0.03188662533215236,36,3.766629951774937,7786.5986782638975,0.0046233280393007965
399,7,1093,1067,0.023787740164684323,26,2.815617820958146,7542.206063344912,0.003447267255976986
406,7,1067,1027,0.03748828491096534,40,3.472230302951542,7327.889212118062,0.005458597809291709
413,7,1027,985,0.04089581304771173,42,3.4418672426146797,7039.558424189817,0.005966283319089547
420,7,985,957,0.028426395939086246,28,3.503024991732979,6797.084699768523,0.0041194131361866875
427,7,957,928,0.030303030303030276,29,2.8743171691413028,6579.355197905098,0.004407726764658299
434,7,928,903,0.026939655172413812,25,3.408827771759038,6406.220694293976,0.0039024568763713547
441,7,903,877,0.02879291251384275,26,4.08517428418818,6245.214531388892,0.004163187648610333
448,7,877,843,0.03876852907639683,34,3.2826904629627016,6012.611475740732,0.00565478081149611
455,7,843,815,0.033214709371293005,28,3.51169135871378,5803.327358043985,0.004824818293455259
462,7,815,780,0.042944785276073594,35,2.9164764375001497,5562.076675312505,0.0062926137202223165
469,7,780,755,0.03205128205128205,25,3.723491257407379,5378.087281435184,0.00464849279897305
476,7,755,726,0.03841059602649011,29,3.034311499042415,5169.99503347223,0.005609289721217248
483,7,726,707,0.026170798898071612,19,2.6548901096490365,4999.442912083332,0.00380042343399466
