Year ,month,mean_temp,date
2018,1,"16,3",01/1/2018
2018,2,"12,3",01/2/2018
2018,3,"17,3",01/3/2018
2018,4,"19,8",01/4/2018
2018,5,"22,3",01/5/2018
2018,6,"26,5",01/6/2018
2018,7,"29,9",01/7/2018
2018,8,"30,3",01/8/2018
2018,9,27,01/9/2018
2018,10,"22,6",01/10/2018
2018,11,18,01/11/2018
2018,12,"16,7",01/12/2018
2019,1,"21,6",01/1/2019
2019,2,"16,7",01/2/2019
2019,3,"18,2",01/3/2019
2019,4,"18,2",01/4/2019
2019,5,21,01/5/2019
2019,6,"26,5",01/6/2019
2019,7,"29,6",01/7/2019
2019,8,"29,6",01/8/2019
2019,9,"26,4",01/9/2019
2019,10,"23,5",01/10/2019
2019,11,"17,8",01/11/2019
2019,12,"16,7",01/12/2019
2020,1,"21,6",01/1/2020
2020,2,"16,7",01/2/2020
2020,3,"18,2",01/3/2020
2020,4,"18,2",01/4/2020
2020,5,21,01/5/2020
2020,6,"26,5",01/6/2020
2020,7,"29,6",01/7/2020
2020,8,"29,6",01/8/2020
2020,9,"26,4",01/9/2020
2020,10,"23,5",01/10/2020
2020,11,"17,8",01/11/2020
2020,12,"16,7",01/12/2020
